"corpus_version","generated_at","license","methodology_url","id","slug","name","entityType","summary","dateDisplay","regions","styles","roles","instruments","sourceIds","featuredVideo","reviewStatus","lastReviewed"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:eddie-boyd","eddie-boyd","Eddie Boyd","artist","Eddie Boyd was a blues pianist and singer.","1914 – 1994","United States","Blues","Pianist; Singer","Piano","source:encyclopedia-eddie-boyd; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""M780c8beHr8"",""title"":""Letter Missin' Blues"",""sourceUrl"":""https://www.youtube.com/watch?v=M780c8beHr8"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:eddie-guitar-burns","eddie-guitar-burns","Eddie ""Guitar"" Burns","artist","Eddie ""Guitar"" Burns was a blues singer, guitarist and songwriter.","1928 – 2012","United States","Blues","Singer; Guitarist; Songwriter; Musician","Guitar; Harmonica; Voice","source:encyclopedia-eddie-guitar-burns; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""8U7YEyIO8ps"",""title"":""9  Eddie Guitar Burns - Jinglin Baby - 2nd Degree Burns"",""sourceUrl"":""https://www.youtube.com/watch?v=8U7YEyIO8ps"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:eddie-mapp","eddie-mapp","Eddie Mapp","artist","Eddie Mapp was a blues musician, songwriter and composer.","1910 – 1931","United States","Blues; Country Blues","Musician; Songwriter; Composer; Blues Musician","Harmonica","source:encyclopedia-eddie-mapp; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""eSxtK9vOuzE"",""title"":""Eddie Mapp [Gear Box ‎– Dj Guitar Vol.1]"",""sourceUrl"":""https://www.youtube.com/watch?v=eSxtK9vOuzE"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:eddie-taylor","eddie-taylor","Eddie Taylor","artist","Eddie Taylor was a blues musician, guitarist and jazz musician.","1923 – 1985","United States","Blues","Musician; Guitarist; Jazz Musician; Composer","Guitar","source:encyclopedia-eddie-taylor; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""_v1VfaYuzCQ"",""title"":""Eddie Taylor : Peach Tree Blues (1979)"",""sourceUrl"":""https://www.youtube.com/watch?v=_v1VfaYuzCQ"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:edmonia-henderson","edmonia-henderson","Edmonia Henderson","artist","Edmonia Henderson was a blues musician.","1900 – 1947","United States","Blues","Musician","","source:encyclopedia-edmonia-henderson; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""VuEIDCB3Iy0"",""title"":""Edmonia Henderson Nobody Else Will Do (1926)"",""sourceUrl"":""https://www.youtube.com/watch?v=VuEIDCB3Iy0"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:edna-hicks","edna-hicks","Edna Hicks","artist","Edna Hicks was a blues singer.","1895 – 1925","United States","Blues","Singer","Voice","source:encyclopedia-edna-hicks; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""KE7oIMzbFy0"",""title"":""Edna Hicks - Poor Me Blues *HQ*"",""sourceUrl"":""https://www.youtube.com/watch?v=KE7oIMzbFy0"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:elmore-james","elmore-james","Elmore James","artist","His slashing slide-guitar arrangement of Robert Johnson's 'Dust My Broom' became one of the most copied riffs in blues and rock.","1918 – 1963","Mississippi → Chicago","","","","","{""platform"":""youtube"",""videoId"":""5jcGY7NbaQw"",""title"":""Dust My Broom"",""sourceUrl"":""https://www.youtube.com/watch?v=5jcGY7NbaQw"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:eric-clapton","eric-clapton","Eric Clapton","artist","Studied Robert Johnson, Freddie King, and Otis Rush note-for-note, then carried that vocabulary through the Yardbirds, Bluesbreakers, Cream, and a solo career.","1945 –","England","","","","","{""platform"":""youtube"",""videoId"":""-KG2O5PSCSs"",""title"":""Layla (Live at Royal Albert Hall, 1991)"",""sourceUrl"":""https://www.youtube.com/watch?v=-KG2O5PSCSs"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:eric-gales","eric-gales","Eric Gales","artist","Memphis singer-guitarist whose blues-rock vocabulary and distinctive upside-down right-handed guitar approach developed within a musical family.","1974 –","Memphis, Tennessee","Blues rock; Electric blues","Singer; Songwriter; Guitarist","Guitar","source:eric-gales-mascot-bio","{""platform"":""youtube"",""videoId"":""hWczc9NPWLY"",""title"":""Steep Climb"",""sourceUrl"":""https://www.youtube.com/watch?v=hWczc9NPWLY"",""lastChecked"":""2026-07-22""}","reviewed","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:etta-baker","etta-baker","Etta Baker","artist","Etta Baker was a blues musician and guitarist.","1913 – 2006","United States","Blues","Musician; Guitarist","Banjo; Guitar","source:encyclopedia-etta-baker; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""JSaHG9-7Mzo"",""title"":""The Fingerpicking Blues Of Etta Baker - Browns Boogie"",""sourceUrl"":""https://www.youtube.com/watch?v=JSaHG9-7Mzo"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:fenton-robinson","fenton-robinson","Fenton Robinson","artist","Fenton Robinson was a blues singer, guitarist and jazz guitarist.","1935 – 1997","United States","Blues","Singer; Guitarist; Jazz Guitarist; Musician","Guitar; Voice","source:encyclopedia-fenton-robinson; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""EiGx5xNcBZA"",""title"":""Fenton Robinson,As the years go passing by"",""sourceUrl"":""https://www.youtube.com/watch?v=EiGx5xNcBZA"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:field-hollers","field-hollers","Field Hollers & Work Songs","tradition","Solitary, freely-timed vocal cries used by enslaved and later sharecropping laborers to coordinate work and express what could not be said plainly. Their pitch-bending and rhythmic freedom fed directly into blues vocal style.","1800s","American South","","","","","","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:fleetwood-mac-early","fleetwood-mac-early","Fleetwood Mac (Peter Green era)","ensemble","Peter Green's tone and phrasing were so close to B.B. King's that King himself reportedly praised him; the band began as a straight blues outfit.","formed 1967","London","","","","","","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:floyd-dixon","floyd-dixon","Floyd Dixon","artist","Floyd Dixon was a blues musician, pianist and singer.","1929 – 2006","United States","Blues; Rhythm And Blues","Musician; Pianist; Singer; Songwriter","Piano; Voice","source:encyclopedia-floyd-dixon; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""TVJiLpgpNN8"",""title"":""Floyd Dixon Alarm Clock Blues"",""sourceUrl"":""https://www.youtube.com/watch?v=TVJiLpgpNN8"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:floyd-jones","floyd-jones","Floyd Jones","artist","Floyd Jones was a blues musician.","1917 – 1989","United States","Blues","Musician","Guitar","source:encyclopedia-floyd-jones; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""NBdm1vKmyac"",""title"":""Stockyard Blues"",""sourceUrl"":""https://www.youtube.com/watch?v=NBdm1vKmyac"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:fred-mcdowell","fred-mcdowell","Fred McDowell","artist","Fred McDowell was a blues guitarist, singer and composer.","1904 – 1972","United States","Blues; Delta Blues; Hill Country Blues","Guitarist; Singer; Composer; Musician","Guitar","source:encyclopedia-fred-mcdowell; source:wikipedia-list-blues-musicians-discovery; source:school-of-rock-history-blues","{""platform"":""youtube"",""videoId"":""QPZtMFWZT7Q"",""title"":""Mississippi Fred McDowell  - Freight Train Blues"",""sourceUrl"":""https://www.youtube.com/watch?v=QPZtMFWZT7Q"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:freddie-king","freddie-king","Freddie King","artist","Combined Texas and Chicago styles with instrumental hits that British blues-rock guitarists learned note-for-note.","1934 – 1976","Texas → Chicago","","","","","{""platform"":""youtube"",""videoId"":""sQWeXuyRnDo"",""title"":""Hide Away"",""sourceUrl"":""https://www.youtube.com/watch?v=sQWeXuyRnDo"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:fruteland-jackson","fruteland-jackson","Fruteland Jackson","artist","Fruteland Jackson is a blues singer and songwriter.","1953 –","United States","Blues; Electric Blues","Singer; Songwriter","Guitar; Voice","source:encyclopedia-fruteland-jackson; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""ruFkMg4CYuk"",""title"":""Titanic Blues"",""sourceUrl"":""https://www.youtube.com/watch?v=ruFkMg4CYuk"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:gare-du-nord","gare-du-nord","Gare du Nord","ensemble","Dutch-Belgian group founded as a studio project joining traditional blues materials with jazz, soul, lounge and electronic production.","2001 –","Netherlands; Belgium","Blues lounge; Nu jazz; Electronic","Band; Studio project","","source:gare-du-nord-official-about","{""platform"":""youtube"",""videoId"":""XrqDr2c-yxU"",""title"":""Pablo's Blues"",""sourceUrl"":""https://www.youtube.com/watch?v=XrqDr2c-yxU"",""lastChecked"":""2026-07-22""}","reviewed","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:gary-clark-jr","gary-clark-jr","Gary Clark Jr.","artist","Merges Hendrix, SRV, and hip-hop-era production, keeping the Texas blues-guitar lineage active in contemporary music.","1984 –","Texas","","","","","{""platform"":""youtube"",""videoId"":""pBV9JwHwIE8"",""title"":""Take Me Down (Official Audio)"",""sourceUrl"":""https://www.youtube.com/watch?v=pBV9JwHwIE8"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:gary-primich","gary-primich","Gary Primich","artist","Gary Primich was a blues musician, singer and songwriter.","1958 – 2007","United States","Blues; Electric Blues","Musician; Singer; Songwriter","Guitar; Harmonica; Voice","source:encyclopedia-gary-primich; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""3P6Cn55NjFI"",""title"":""Cotton Blue Revue"",""sourceUrl"":""https://www.youtube.com/watch?v=3P6Cn55NjFI"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:george-higgs","george-higgs","George Higgs","artist","George Higgs was a blues singer.","1930 – 2013","","Blues","Singer","Voice","source:encyclopedia-george-higgs; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""Z2I__4bJ3Cg"",""title"":""Blues Came Falling Down"",""sourceUrl"":""https://www.youtube.com/watch?v=Z2I__4bJ3Cg"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:george-smith","george-smith","George Smith","artist","George Smith was a blues musician.","1924 – 1983","United States","Blues","Musician","Harmonica","source:encyclopedia-george-smith; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""pp03vjY5OEk"",""title"":""George ''Harmonica'' Smith     ~    ''Telephone Blues''  Live 1970"",""sourceUrl"":""https://www.youtube.com/watch?v=pp03vjY5OEk"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:gladys-bentley","gladys-bentley","Gladys Bentley","artist","Gladys Bentley was a blues singer, composer and musician.","1907 – 1960","United States","Blues","Singer; Composer; Blues Musician","Voice; Piano","source:encyclopedia-gladys-bentley; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""OERnm0HTVlM"",""title"":""You Bet Your Life – blues singer-pianist Gladys Bentley (“Them There Eyes”)"",""sourceUrl"":""https://www.youtube.com/watch?v=OERnm0HTVlM"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:good-rockin-charles","good-rockin-charles","Good Rockin' Charles","artist","Good Rockin' Charles was a blues singer and songwriter.","1933 – 1989","United States","Blues; Chicago Blues","Singer; Songwriter","Harmonica; Voice","source:encyclopedia-good-rockin-charles; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""4utKqrJGIKU"",""title"":""I Wish I Had Somebody"",""sourceUrl"":""https://www.youtube.com/watch?v=4utKqrJGIKU"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:grady-gaines","grady-gaines","Grady Gaines","artist","Grady Gaines was a blues musician.","1934 – 2021","United States","Blues; Texas Blues; Electric Blues","Musician","Saxophone","source:encyclopedia-grady-gaines; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""Ots__WR2cbc"",""title"":""Stomp House Blues"",""sourceUrl"":""https://www.youtube.com/watch?v=Ots__WR2cbc"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:griot","griot","West African Griot Tradition","tradition","Hereditary praise-singers and oral historians (jali/djeli) of the Mande empires who accompanied narrative song on stringed instruments like the kora and ngoni. Scholars such as Alan Lomax and Paul Oliver noted deep aesthetic parallels — solo voice-and-string performance, melisma, and a singer's ambiguous social status — between griots and early blues singers, though a direct unbroken lineage remains debated rather than documented.","c. 1200s – present","Mali, Senegal, Gambia","","","","","","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:guitar-pete-franklin","guitar-pete-franklin","Guitar Pete Franklin","artist","Guitar Pete Franklin was a blues songwriter, pianist and singer.","1928 – 1975","United States","Blues","Songwriter; Pianist; Singer; Guitarist","Guitar; Piano; Voice","source:encyclopedia-guitar-pete-franklin; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""x7RfTQxIn2U"",""title"":""I Got To Find My Baby - Guitar Pete Franklin"",""sourceUrl"":""https://www.youtube.com/watch?v=x7RfTQxIn2U"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:guitar-slim-jr","guitar-slim-jr","Guitar Slim, Jr.","artist","Guitar Slim, Jr. is a blues singer and musician.","1951 –","United States","Blues","Singer; Musician","Guitar; Voice","source:encyclopedia-guitar-slim-jr; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""gtU3M1_yBSQ"",""title"":""Sufferin' Mind"",""sourceUrl"":""https://www.youtube.com/watch?v=gtU3M1_yBSQ"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:guy-davis","guy-davis","Guy Davis","artist","Guy Davis is a blues musician.","1952 –","United States","Blues","Musician","Guitar; Musical Keyboard","source:encyclopedia-guy-davis; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""74VukWn-srk"",""title"":""Guy Davis - Loneliest Road That I Know. Whiskey Blues."",""sourceUrl"":""https://www.youtube.com/watch?v=74VukWn-srk"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:henry-gray","henry-gray","Henry Gray","artist","Henry Gray was a blues musician, pianist and musician.","1925 – 2020","United States","Blues","Musician; Pianist; Blues Musician","Piano","source:encyclopedia-henry-gray; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""6p2IR7jQXLQ"",""title"":""Boogie"",""sourceUrl"":""https://www.youtube.com/watch?v=6p2IR7jQXLQ"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:henry-townsend","henry-townsend","Henry Townsend","artist","Henry Townsend was a blues singer, pianist and musician.","1909 – 2006","United States","Blues","Singer; Pianist; Blues Musician; Musician","Guitar; Piano; Voice","source:encyclopedia-henry-townsend; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""F3JHEZqXilE"",""title"":""Baby Boy Blues"",""sourceUrl"":""https://www.youtube.com/watch?v=F3JHEZqXilE"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:hip-linkchain","hip-linkchain","Hip Linkchain","artist","Hip Linkchain was a blues singer and songwriter.","1936 – 1989","United States","Blues; Chicago Blues","Singer; Songwriter","Guitar; Voice","source:encyclopedia-hip-linkchain; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""rP0RKt20vXU"",""title"":""Change My Blues"",""sourceUrl"":""https://www.youtube.com/watch?v=rP0RKt20vXU"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:howlin-wolf","howlin-wolf","Howlin' Wolf","artist","A towering, raw-voiced rival to Muddy Waters at Chess Records whose songs were covered by nearly every major British blues-rock act.","1910 – 1976","Mississippi → Chicago","","","","","{""platform"":""youtube"",""videoId"":""4fjviTLYqoc"",""title"":""Spoonful"",""sourceUrl"":""https://www.youtube.com/watch?v=4fjviTLYqoc"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:ida-cox","ida-cox","Ida Cox","artist","Ida Cox was a blues singer.","1896 – 1967","United States","Blues","Singer","Voice","source:encyclopedia-ida-cox; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""d4QHHpZwSX4"",""title"":""Rambling Blues"",""sourceUrl"":""https://www.youtube.com/watch?v=d4QHHpZwSX4"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:ike-turner","ike-turner","Ike Turner","artist","Ike Turner was a blues guitarist, pianist and singer-songwriter.","1931 – 2007","United States","Blues; Rhythm And Blues","Guitarist; Pianist; Singer-Songwriter; Bandleader","Guitar; Piano; Voice; Musical Keyboard","source:encyclopedia-ike-turner; source:wikipedia-list-blues-musicians-discovery; source:carnegie-hall-rhythm-blues","{""platform"":""youtube"",""videoId"":""f8cFpqjr9qo"",""title"":""Ike Turner - Gettin Nasty"",""sourceUrl"":""https://www.youtube.com/watch?v=f8cFpqjr9qo"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:isaac-scott","isaac-scott","Isaac Scott","artist","Isaac Scott was a blues singer.","1945 – 2001","","Blues","Singer","Voice","source:encyclopedia-isaac-scott; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""wWDnPQeZ74A"",""title"":""Listen to the Blues"",""sourceUrl"":""https://www.youtube.com/watch?v=wWDnPQeZ74A"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:j-b-lenoir","j-b-lenoir","J. B. Lenoir","artist","J. B. Lenoir was a blues guitarist and singer.","1929 – 1967","United States","Blues","Guitarist; Singer","Guitar; Harmonica; Voice","source:encyclopedia-j-b-lenoir; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""TtzIy1YUVXU"",""title"":""Alabama Blues"",""sourceUrl"":""https://www.youtube.com/watch?v=TtzIy1YUVXU"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:j-j-malone","j-j-malone","J.J. Malone","artist","J.J. Malone was a blues singer, pianist and songwriter.","1935 – 2004","United States","Blues","Singer; Pianist; Songwriter","Guitar; Voice","source:encyclopedia-j-j-malone; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""vWDdfgWIsMQ"",""title"":""J.J. Malone ‎– No World For Dreamers (Audiophile Version) ℗ 1973"",""sourceUrl"":""https://www.youtube.com/watch?v=vWDdfgWIsMQ"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:jack-owens","jack-owens","Jack Owens","artist","American blues singer, guitarist, and songwriter associated with the Bentonia tradition in Mississippi.","1904 – 1997","Bentonia, Mississippi; Mississippi Delta","Delta blues; Bentonia blues; Country blues","Musician; Songwriter","Voice; Guitar; Piano; Fife; Fiddle","source:encyclopedia-jack-owens","{""platform"":""youtube"",""videoId"":""NcpU1SQtt44"",""title"":""Jack Owens & Bud Spires: Catfish Blues (1978)"",""sourceUrl"":""https://www.youtube.com/watch?v=NcpU1SQtt44"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:jack-white","jack-white","Jack White","artist","Built the White Stripes' sound directly on Son House and Blind Willie McTell, and has actively championed and reissued early blues recordings.","1975 –","Detroit","","","","","{""platform"":""youtube"",""videoId"":""Ozv5moXP3YA"",""title"":""That’s How I’m Feeling"",""sourceUrl"":""https://www.youtube.com/watch?v=Ozv5moXP3YA"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:james-armstrong","james-armstrong","James Armstrong","artist","James Armstrong is a blues singer and songwriter.","1957 –","United States","Blues","Singer; Songwriter","Guitar; Voice","source:encyclopedia-james-armstrong; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""AYzbf_ene70"",""title"":""Young Man With The Blues"",""sourceUrl"":""https://www.youtube.com/watch?v=AYzbf_ene70"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:james-cotton","james-cotton","James Cotton","artist","Mississippi-born singer and harmonica player whose career linked Sonny Boy Williamson II, Howlin’ Wolf and Muddy Waters to later electric-blues audiences.","1935 – 2017","Mississippi; Memphis, Tennessee; Chicago, Illinois","Chicago blues; Electric blues","Singer; Harmonica player; Bandleader","Harmonica","source:james-cotton-blues-foundation","{""platform"":""youtube"",""videoId"":""9iWnkX6opOw"",""title"":""Fever"",""sourceUrl"":""https://www.youtube.com/watch?v=9iWnkX6opOw"",""lastChecked"":""2026-07-22""}","reviewed","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:james-thunderbird-davis","james-thunderbird-davis","James ""Thunderbird"" Davis","artist","James ""Thunderbird"" Davis was a blues singer.","1938 – 1992","","Blues","Singer","Voice","source:encyclopedia-james-thunderbird-davis; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""VrKzWGwbf2k"",""title"":""James 'Thunderbird' Davis & Ron Levy   'Checkout Time'"",""sourceUrl"":""https://www.youtube.com/watch?v=VrKzWGwbf2k"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:jesse-dayton","jesse-dayton","Jesse Dayton","artist","Texas singer, songwriter and guitarist whose work crosses electric blues, country, rockabilly and outlaw roots music.","","Texas","Electric blues; Roots rock; Country","Singer; Songwriter; Guitarist","Guitar","source:jesse-dayton-official-bio","{""platform"":""youtube"",""videoId"":""_zjqiLZOr98"",""title"":""Tried to Quit (But I Just Quit Tryin’)"",""sourceUrl"":""https://www.youtube.com/watch?v=_zjqiLZOr98"",""lastChecked"":""2026-07-22""}","reviewed","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:jim-jackson","jim-jackson","Jim Jackson","artist","Jim Jackson was a blues guitarist, singer and musician.","1884 – 1937","United States","Blues","Guitarist; Singer; Musician","Guitar","source:encyclopedia-jim-jackson; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""jUfdgy1pB_w"",""title"":""St. Louis Blues"",""sourceUrl"":""https://www.youtube.com/watch?v=jUfdgy1pB_w"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:jimi-hendrix","jimi-hendrix","Jimi Hendrix","artist","Fused Delta and Chicago blues phrasing (via Muddy Waters, Buddy Guy, and Albert King) with feedback and psychedelia, redefining electric guitar for every generation after.","1942 – 1970","Seattle → London","","","","","{""platform"":""youtube"",""videoId"":""WGoDaYjdfSg"",""title"":""Purple Haze"",""sourceUrl"":""https://www.youtube.com/watch?v=WGoDaYjdfSg"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:jimmy-reed","jimmy-reed","Jimmy Reed","artist","His laid-back shuffle groove was among the most widely learned patterns by both American rock and roll and British beat-group guitarists.","1925 – 1976","Mississippi → Chicago","","","","","{""platform"":""youtube"",""videoId"":""RqHKiIDbHNY"",""title"":""Big Boss Man"",""sourceUrl"":""https://www.youtube.com/watch?v=RqHKiIDbHNY"",""lastChecked"":""2026-07-22""}","needs_revision",""
